Name,Aliases,Nationality,Ethnicity
Hatler Gurius,"InkFit, Jesse Bently",American,Caucasian
Claus Noord,"Max, Hannes Löffel, Gerd, Tony Immer, Klaus Nord, Bernd",Unknown,Caucasian
Filthy Rich,Mr. Filthy Rich,American,Caucasian
Lil D,Unknown,American,Black
Celtic Iron,"Bradley King, Jonnhay Deep, Bradley Brennan, Stephen",Irish,Caucasian
Connor Flynn,Unknown,Spanish,Caucasian
Dan Ferrari,"Indiana Bones, Indian Bones",American,Caucasian
Thomas Lee,Unknown,Unknown,Unknown
Ace Bigs,Ace Biggs,American,Black
Nick Moreno,Nik Moreno,Unknown,Caucasian
Ace Hardz,"Ace Hard, Ace Hards",Unknown,Black
Jake Waters,Unknown,American,Black
Jack Blaque,Unknown,American,Black
Max Born,"Brian Ragnastone, Max Bourne, Zdenek Hemcak",Czech,Unknown
Steve Rickz,Steve Rinkz,American,Caucasian
Alex Jones,Ace,"Serbian, German",Caucasian
Pierre Woodman,"Pierre Boismonsieur, Jean-Paul Bouchet",French,Caucasian
Dylan Ledger,Unknown,Unknown,Caucasian
Kristof Cale,Unknown,Czech,Caucasian
Jonny Palms,Johnny Palms,American,Caucasian
Chad White,"Trent, Chad, Blair, Mattox",American,Caucasian
Chris Epic,"King Epicleus, Chris Epicleus, Epic, Chris",American,Caucasian
Zack Whiter,Unknown,Unknown,Latin
Conor Coxxx,Unknown,Unknown,Unknown
Jay Bangher,Jay Banger,American,Unknown
Willy Regal,"Ervin Kozma, Wiley Regal",Russian,Caucasian
Jay Wu,David Slinger,American,Asian
Francesco Malcolm,"Eduardo Ritz, Francesco Trulli, Francesco Malom, Francesco Malcon, Francesco Malkom, Franco Rialto",Italian,Caucasian
Dave Hard,"David, Dave H, Marek Dvorak, Dave Heart, Dave Heard, Christian, Davide Ranieri",Czech,Caucasian
Ridge Crix,Unknown,Czech,Caucasian
Stano Izak,"Clive Walker, Perry Layne, Karel, Alan Wake",Bulgarian,Caucasian
Lutro Steele,"Lutro Vargas, Joseph Valek, Jiri Benes, Jeryl, Lukas, Lucky Lutro, Karel, Rick",Czech,Caucasian
John Price,"Joan Price, Gianpiero",Italian,Caucasian
Rodolphe Antrim,"Adrien, Ruud Bilux, Alain, Rudy Manero, Rodolphe Billard, Christian Carambeau, Rudolf Blanc, Rudolph Baden, Rodolf Dessen",French,Caucasian
Maximo Garcia,"Jorge Navarro, Joël Tomas, Joel Tomas, Joel Thomas, Ricardo, Jorge Santana, Jorge Garcia",Spanish,Caucasian
Dre Strong,Unknown,American,Black
Kris Slater,Unknown,Unknown,Unknown
Ben English,Unknown,Unknown,Unknown
London Ford,Unknown,Unknown,Asian
Markus Dupree,Unknown,Russian,Caucasian
Eric Dikkersun,"Eric Dikkerson, Eriq Dikkersun",American,Caucasian
Oliver Flynn,Unknown,American,Caucasian
Michael Vegas,"Mike Vegas, James Oak",American,Caucasian
Puerto Rock,Unknown,American,Latin
Ralph Whoren,"pornbox.com), Ralph Whoring, Ralph (gonzo.com",American,Black
Air Thugger,Zachary Larson,American,Mixed
Xander Corvus,Unknown,Unknown,Caucasian
Seth Dickens,Unknown,Unknown,Unknown
Levi Cash,Unknown,Unknown,Unknown
Bamako Soldat,Bamako,French,Black
Devlin Weed,Unknown,Unknown,Unknown
Axel Aces,"Richie Evans, Master Richie, Master Richi, Mr Smith",Unknown,Caucasian
Kevin White,Unknown,Unknown,Unknown
Jin Matsui,Unknown,Brazilian,Asian
Preston Parker,"Dillon Parker, Chris Parker, Dillon (CorbinFisher), Preston (ChaosMen), Dillon (RandyBlue)",Unknown,Caucasian
Titof,"Titoff, Christophe",French,Caucasian
Filou Fitt,"Philippe Soulier, Fitt Filou",French,Caucasian
Don Diggler,DickDealear Don,American,Black
Brad Sterling,Unknown,American,Caucasian
Ralf Christian,"Tony Art, Chuck, Artem Turkov, Art, Frankie G, Thommy, Ben, Artie, Artyom",Russian,Caucasian
Colten Corso,"Colty Corso, Colton Corso",Unknown,Latin
Jessy Jones,"Jesse Jones, Jessie Fuck, Jessie Jones, Jessy",Chilean,Caucasian
Leo Valentino,Unknown,Unknown,Latin
Mugur,"Mugor, Mogur, Ivan, Mugur Porn, Murgur",Romanian,Caucasian
Uncut James,James Bloww,Unknown,Caucasian
Dino Bravo,Unknown,Unknown,Unknown
Peter Oh Tool,Unknown,Unknown,Unknown
Eric John,Unknown,Unknown,Unknown
Manuel Ferrera,Unknown,Unknown,Unknown
Vic Lowery,"Vic, Vic Lowry",American,Black
Chris Damned,Unknown,French,Caucasian
Alpha Wolfe,Persian Wolf,American,Caucasian
Justin Hunt,"Justin, Justin Long",American,Caucasian
Will Havoc,Rubie Havoc,Unknown,Caucasian
Sly Diggler,Unknown,American,Black
Slim Dark,Unknown,American,Black
Max Dior,"Kevin Arbor, Max, Max Dyor, Shane Barrett, Maxmilian Dior, Shane, Scott Reeves, Maximilian Dyor, Albert Masak",Czech,Caucasian
Johnny B,Unknown,American,Caucasian
Jason Carrera,Unknown,Venezuelan,Latin
Rico Strong,Unknown,Unknown,Unknown
Paul Black,Unknown,Unknown,Unknown
Conny Dachs,Unknown,German,Caucasian
Jordan Ash,Unknown,Unknown,Unknown
Martin Spell,"Martin Spen, Andrew Farrell",Russian,Caucasian
Mandingo,"Fred Foolish, Big Dick Fred, Curtis, Fred Dingo",American,Black
Deep Threat,Unknown,Unknown,Unknown
Chris Strokes,Unknown,Unknown,Unknown
Tommy Wolff,Bobby Smyrna,Unknown,Caucasian
Francis X,Unknown,Italian,Latin
Mickey Mod,MickeyMod,American,Black
Charlie Patterson,"Dillon Smith, Charlie, Elder Quaid, Miles, Charlie Paterson, Charlie Pattinson",American,Caucasian
Derek Kage,Derek Cage,American,Caucasian
Austan T,Unknown,Unknown,Caucasian
Calvin Hardy,Unknown,American,Caucasian
Tyce Bune,Unknown,Unknown,Unknown
Adrian Hart,Logan Heart,American,Black
Bossmane Dre,Bo$$mane Dre,Unknown,Black
Spikey Dee,Unknown,American,Caucasian
Buster Good,Unknown,Unknown,Unknown
Cory Strokes,Unknown,Unknown,Black
Peter North,Unknown,Unknown,Caucasian
Tony Carrera,"Mark Ferri, Christophe Kdo, Jean Philippe, Toni Carrera, Titus Woller",French,Caucasian
Tyler Steel,"Tyler Steele, Tyler Page",Unknown,Caucasian
Ike Diezel,Unknown,Unknown,Unknown
Mike Hunt,Unknown,Unknown,Unknown
Billy Glide,Unknown,Unknown,Unknown
Neeo,Unknown,Unknown,Unknown
Michael Stefano,"Mike Stefano, Micheal Stefano, Mike Long, Michael Stephano, Michael Long",Unknown,Unknown
Tony James,Unknown,Unknown,Unknown
D Snoop,Unknown,Unknown,Unknown
Marco Bull,Unknown,Spanish,Caucasian
Donny Long,Unknown,Unknown,Unknown
Guy Disilva,Unknown,Unknown,Unknown
Kane Kobang,Unknown,American,Black
Roman Todd,Unknown,American,Caucasian
Treyy Vunt,Unknown,Unknown,Black
Chris Cock,Unknown,Unknown,Unknown
Juan Cuba,Unknown,Unknown,Unknown
Robert Axel,"Pittbul, Robert Christian, Robert Christin, Robert Miner, Michael Vineland",American,Black
Coach Cardher,"Flexx, Pristine Bull, SeazonedBee, 420 Bangus, Flex Fitcock",American,Black
Casey Conrad,Brett Geo,Unknown,Caucasian
Prince Yahshua,Unknown,Unknown,Unknown
Jacob Steel,"Bambino, Lee, Jose",American,Latin
Sean Michaels,Unknown,Unknown,Unknown
Franco Roccaforte,Unknown,Unknown,Unknown
Kris Knight,Unknown,Unknown,Unknown
